ubiProv,ubiReg,DEPARTAMENTO,PROVINCIA,IDE,IDENTIDAD,SALUD,EDUCACION,SANEAMIENTO,ELECTRIFICACION,POBLACION,COSTA,CAPITAL,TAMANO
150300,150000,LIMA,Cajatambo,0.6624,97.773,16.2382,78.1014,51.6375,76.623,8139,NO,NO,1
150400,150000,LIMA,Canta,0.6628,98.6936,29.0179,76.8965,39.9944,67.4349,14669,NO,NO,1
150500,150000,LIMA,Canete,0.7697,99.5034,16.3725,86.2599,86.3501,85.4381,222877,SI,NO,3
150600,150000,LIMA,Huaral,0.777,99.0524,17.7469,84.0086,85.1771,90.6684,182409,SI,NO,3
150700,150000,LIMA,Huarochiri,0.7134,99.0322,16.2867,81.9827,73.6597,74.8972,79177,NO,NO,2
150800,150000,LIMA,Huaura,0.7884,99.4633,22.032,84.1302,85.147,88.7237,213188,SI,NO,3
150900,150000,LIMA,Oyon,0.7104,99.0082,9.4051,77.9139,77.8538,84.76,22217,NO,NO,1
151000,150000,LIMA,Yauyos,0.6657,98.4199,14.4953,83.6558,52.3377,74.2986,27842,NO,NO,1
160100,160000,LORETO,Maynas,0.6779,95.9809,12.4254,79.0188,57.2983,85.9357,550031,NO,SI,4
160200,160000,LORETO,Alto Amazonas,0.5685,94.0398,10.814,61.7112,44.4909,66.0007,117163,NO,NO,3
160300,160000,LORETO,Loreto,0.507,89.8845,6.2437,60.1239,32.464,60.621,69508,NO,NO,2
160400,160000,LORETO,Mariscal Ramon Castilla,0.4707,91.3034,4.5533,55.2372,23.2198,58.0174,67143,NO,NO,2
160500,160000,LORETO,Requena,0.5378,92.4981,4.9098,64.907,27.0976,76.2223,72706,NO,NO,2
160600,160000,LORETO,Ucayali,0.5572,90.6369,4.5009,71.0551,33.5148,75.8978,70782,NO,NO,2
160700,160000,LORETO,Datem del Maranon,0.4295,81.9682,4.7538,44.0338,32.0778,48.7369,59620,NO,NO,2
170100,170000,MADRE DE DIOS,Tambopata,0.8027,99.2041,26.2887,86.1364,84.2227,87.9527,91988,NO,SI,2
170200,170000,MADRE DE DIOS,Manu,0.5941,93.5355,12.1582,81.1164,37.0703,65.0632,22906,NO,NO,1
170300,170000,MADRE DE DIOS,Tahuamanu,0.7263,99.5,27.4945,82.3381,56.4859,79.0064,12745,NO,NO,1
180100,180000,MOQUEGUA,Mariscal Nieto,0.8263,99.4366,26.9476,94.0548,80.8463,93.9171,78890,NO,SI,2
180200,180000,MOQUEGUA,General Sanchez Cerro,0.6417,98.8706,13.2708,86.5558,38.3928,74.9002,27275,NO,NO,1
180300,180000,MOQUEGUA,Ilo,0.8504,99.5,21.2476,91.3031,99.5,99.5,68694,SI,NO,2
190100,190000,PASCO,Pasco,0.7169,99.5,10.7282,94.3146,58.5859,88.1771,156259,NO,SI,3
190200,190000,PASCO,Daniel A. Carrion,0.6271,99.5,4.6297,95.0075,41.9339,69.4167,51789,NO,NO,2
190300,190000,PASCO,Oxapampa,0.5744,94.7617,12.5667,65.4202,42.7355,63.3166,89543,NO,NO,2
200100,200000,PIURA,Piura,0.7426,98.5621,15.3145,89.086,77.9517,80.1926,734437,NO,SI,4
200200,200000,PIURA,Ayabaca,0.5102,94.8213,3.6732,60.0579,51.9557,42.1461,141708,NO,NO,3
200300,200000,PIURA,Huancabamba,0.5334,94.1863,5.6703,65.4099,56.4812,41.1786,127423,NO,NO,3
200400,200000,PIURA,Morropon,0.6653,97.1181,7.3392,80.9296,67.5797,74.8067,159486,NO,NO,3
200500,200000,PIURA,Paita,0.7154,99.2638,6.7769,85.3579,76.5216,85.2715,122725,SI,NO,3
200600,200000,PIURA,Sullana,0.7548,97.9271,12.9206,91.7215,78.0363,88.1845,309605,NO,NO,4
200700,200000,PIURA,Talara,0.8082,99.0036,17.2074,97.9404,84.5123,93.9844,133148,SI,NO,3
200800,200000,PIURA,Sechura,0.6745,97.9712,5.9599,79.84,72.387,77.137,71075,NO,NO,2
210100,210000,PUNO,Puno,0.7483,98.9834,18.5388,93.596,64.1132,86.5741,244692,SI,SI,3
210200,210000,PUNO,Azangaro,0.5716,98.7557,2.9063,81.044,39.6135,61.5461,139092,NO,NO,3
210300,210000,PUNO,Carabaya,0.6022,98.2289,4.6188,74.6275,52.4479,68.1171,87812,NO,NO,2
210400,210000,PUNO,Chucuito,0.6036,98.6818,3.6953,88.2616,37.3401,71.3466,142711,NO,NO,3
210500,210000,PUNO,El Collao,0.6141,99.407,4.2362,92.492,34.7087,73.3596,84865,NO,NO,2
210600,210000,PUNO,Huancane,0.5866,98.59,6.42,86.7475,33.66,63.5913,67726,NO,NO,2
210700,210000,PUNO,Lampa,0.5839,99.3094,5.6917,83.7246,39.5906,59.8291,51039,NO,NO,2
210800,210000,PUNO,Melgar,0.6322,99.0987,6.044,81.0894,60.8358,65.0074,77355,NO,NO,2
210900,210000,PUNO,Moho,0.6098,98.1119,2.598,83.4812,45.2047,73.7554,26799,NO,NO,1
211000,210000,PUNO,San Antonio de Putina,0.5691,98.8164,2.64,88.4295,29.5768,63.3287,62247,NO,NO,2
211100,210000,PUNO,San Roman,0.7813,99.0267,15.507,94.0194,72.2405,99.5,276352,NO,NO,3
211200,210000,PUNO,Sandia,0.6152,98.5936,6.4219,84.2576,50.2309,63.8324,68253,NO,NO,2
211300,210000,PUNO,Yunguyo,0.6807,98.3785,6.8712,87.114,52.7099,90.6861,48179,NO,NO,1
220100,220000,SAN MARTIN,Moyobamba,0.6832,95.7572,9.9368,83.2734,72.5388,73.4589,136414,NO,SI,3
220200,220000,SAN MARTIN,Bellavista,0.6256,94.1988,7.979,76.7049,59.9836,68.6068,55815,NO,NO,2
220300,220000,SAN MARTIN,El Dorado,0.6066,96.8349,7.7403,66.9119,68.0806,58.5684,38152,NO,NO,1
220400,220000,SAN MARTIN,Huallaga,0.66,96.7308,11.4771,78.1732,74.7704,61.2204,25357,NO,NO,1
